"importId","name"
"1","Abadla"
"2","Abalissa"
"3","Abi Youcef"
"4","Abou El Hassen"
"5","Achaacha"
"6","Adekar"
"7","Adrar"
"8","Afir"
"9","Aflou"
"10","Aghbal"
"11","Aghbalou"
"12","Aghlal"
"13","Aghni-Goughrane"
"14","Aghrib"
"15","Ahl El Ksar"
"16","Ahmed Rachedi"
"17","Ahmer El Ain"
"18","Ahnif"
"19","Ain Abessa"
"20","Ain Abid"
"21","Ain Adden"
"22","Ain Arnat"
"23","Ain Azel"
"24","Ain Bebouche"
"25","Ain Beida"
"26","Ain Beida"
"27","Ain Beida Harriche"
"28","Ain Ben Beida"
"29","Ain Benian"
"30","Ain Benian"
"31","Ain Ben Khelil"
"32","Ain-Bessem"
"33","Ain Biya"
"34","Ain Bouchekif"
"35","Ain Boucif"
"36","Ain Boudinar"
"37","Ain Bouihi"
"38","Ain Bouziane"
"39","Ain Charchar"
"40","Ain Chouhada"
"41","Ain Defla"
"42","Ain Deheb"
"43","A�n Djasser"
"44","A�n El Arbaa"
"45","Ain El Assel"
"46","Ain El Berd"
"47","Ain El Berda"
"48","Ain El Diss"
"49","Ain El Fakroun"
"50","Ain El Hadid"
"51","Ain El Hadjar"
"52","Ain El Hadjar"
"53","Ain El Hadjel"
"54","Ain-El-Hammam"
"55","Ain El Ibel"
"56","Ain El Kebira"
"57","Ain El Kercha"
"58","Ain El Melh"
"59","Ain El Orak"
"60","Ain Errich"
"61","Ain Fares"
"62","Ain Fares"
"63","Ain Fekan"
"64","Ain Fekka"
"65","Ain Ferah"
"66","Ain Fettah"
"67","Ain Fezza"
"68","Ain Frass"
"69","Ain Ghoraba"
"70","Ain Hassainia"
"71","Ain Kada"
"72","Ain Kebira"
"73","Ain Kechra"
"74","Ain Kerma"
"75","Ain Kerma"
"76","Ain Kermes"
"77","Ain Khadra"
"78","Ain Kihel"
"79","Ain Lahdjar"
"80","Ain Laloui"
"81","Ain Larbi"
"82","Ain Lechiakh"
"83","Ain-Legradj"
"84","Ain Maabed"
"85","Ain Madhi"
"86","Ain Makhlouf"
"87","Ain Mellouk"
"88","Ain Merrane"
"89","Ain M'Lila"
"90","Ain Naga"
"91","Ain Nehala"
"92","Ain Nouissy"
"93","Ain Ouksir"
"94","Ain Oulmane"
"95","Ain Oussera"
"96","Ain Rahma"
"97","Ain Rekada"
"98","Ain Romana"
"99","Ain Roua"
"100","Ain Safra"
"101","Ain Sandel"
"102","Ain-Sebt"
"103","Ain Sekhouna"
"104","Ain Semara"
"105","Ain Sidi Ali"
"106","Ain Sidi Cherif"
"107","Ain Soltane"
"108","Ain Soltane"
"109","Ain Soltane"
"110","Ain Taghrout"
"111","Ain Tagourait"
"112","Ain Tallout"
"113","Ain Tarik"
"114","Ain Taya"
"115","Ain Tedles"
"116","Ain Temouchent"
"117","Ain Tesra"
"118","Ain Thrid"
"119","Ain Tindamine"
"120","Ain Tine"
"121","Ain Tolba"
"122","Ain Tork"
"123","Ain Touila"
"124","Ain Touta"
"125","Ain Turk"
"126","Ain Turk"
"127","Ain Yagout"
"128","Ain Youcef"
"129","Ain Zaatout"
"130","Ain Zana"
"131","Ain-Zaouia"
"132","Ain Zarit"
"133","Ain Zerga"
"134","Ain Zitoun"
"135","Ain Zouit"
"136","Aissaouia"
"137","Ait Aggouacha"
"138","Ait Bouadou"
"139","Ait Boumehdi"
"140","Ait-Chaffaa"
"141","Ait Khelili"
"142","Ait Laaziz"
"143","Ait-Mahmoud"
"144","Ait Naoual Mezada"
"145","Ait Oumalou"
"146","Ait R'Zine"
"147","Ait-Smail"
"148","Ait-Tizi"
"149","Ait Toudert"
"150","Ait-Yahia"
"151","Ait Yahia Moussa"
"152","Akabli"
"153","Akbil"
"154","Akbou"
"155","Akerrou"
"156","Akfadou"
"157","Alaimia"
"158","Alger Centre"
"159","Amalou"
"160","Amernas"
"161","Amieur"
"162","Amirat Arres"
"163","Amizour"
"164","Ammal"
"165","Ammari"
"166","Ammi Moussa"
"167","Amoucha"
"168","Amourah"
"169","Annaba"
"170","Aokas"
"171","Aomar"
"172","Aoubellil"
"173","Aouf"
"174","Aougrout"
"175","Aoulef"
"176","Arbaouat"
"177","Arib"
"178","Arris"
"179","Arzew"
"180","Asfour"
"181","Assela"
"182","Assi Youcef"
"183","Ath Mansour Taourirt"
"184","Azails"
"185","Azazga"
"186","Azil Abdelkader (Metkouak)"
"187","Azzaba"
"188","Azzefoun"
"189","Azziz"
"190","Azzizia"
"191","Baata"
"192","Baba Hassen"
"193","Babar"
"194","Bab El Assa"
"195","Bab El Oued"
"196","Bab Ezzouar"
"197","Babor"
"198","Bachedjerah"
"199","Badredine El Mokrani"
"200","Baghai"
"201","Baghlia"
"202","Baladiet Amor"
"203","Baraki"
"204","Barbouche"
"205","Barika"
"206","Bathia"
"207","Batna"
"208","Bayadha"
"209","Bazer-Sakra"
"210","Bechar"
"211","Bechloul"
"212","Bedjene"
"213","Beidha Bordj"
"214","Bejaia"
"215","Bekkaria"
"216","Bekkouche Lakhdar"
"217","Belaas"
"218","Belaassel Bouzagza"
"219","Belaiba"
"220","Belala"
"221","Belarbi"
"222","Belimour"
"223","Belkheir"
"224","Bellaa"
"225","Benabdelmalek Ramdane"
"226","Benaceur"
"227","Benaicha Chelia"
"228","Benairia"
"229","Ben Aknoun"
"230","Ben Allal"
"231","Ben Azzouz"
"232","Ben Badis (El Horia)"
"233","Ben Badis"
"234","Ben Chicao"
"235","Ben Choud"
"236","Ben Daoud"
"237","Bendaoud"
"238","Ben Djerrah"
"239","Ben Freha"
"240","Ben Guecha"
"241","Benhar"
"242","Beni Abbes"
"243","Beni Aissi"
"244","Beni Amrane"
"245","Benian"
"246","Beni-Aziz"
"247","Beni Bahdel"
"248","Beni Bechir"
"249","Beni Bouattab"
"250","Beni Boussaid"
"251","Beni Chaib"
"252","Beni Chebana"
"253","Beni Dejllil"
"254","Beni Dergoun"
"255","Beni-Douala"
"256","Beni Fouda"
"257","Beni Foudala El Hakania"
"258","Beni Hamidane"
"259","Beni Haoua"
"260","Beni Ikhlef"
"261","Beni Ilmane"
"262","Beni K'Sila"
"263","Beni Lahcene"
"264","Benimaouche"
"265","Beni-Mellikeche"
"266","Beni Merad"
"267","Beni Messous"
"268","Beni Mester"
"269","Beni Mezline"
"270","Beni Mileuk"
"271","Beni-Mouhli"
"272","Beni Ouarsous"
"273","Beni-Ouartilane"
"274","Beni Oulbane"
"275","Beni Ounif"
"276","Beni Oussine"
"277","Beni Rached"
"278","Beni Rached"
"279","Beni Saf"
"280","Beni Slimane"
"281","Beni Smiel"
"282","Beni Snous"
"283","Beni-Tamou"
"284","Beni Yenni"
"285","Beni Zentis"
"286","Beni Zid"
"287","Beni-Zikki"
"288","Beni Zmenzer"
"289","Benkhelil"
"290","Ben M'Hidi"
"291","Bennasser Benchohra"
"292","Bensekrane"
"293","Ben Srour"
"294","Benyacoub"
"295","Benyahia Abderrahmane"
"296","Benzouh"
"297","Berbacha"
"298","Berhoum"
"299","Berrahal"
"300","Berriane"
"301","Berriche"
"302","Berrihane"
"303","Berrouaghia"
"304","Besbes (Ouled Harkat)"
"305","Besbes"
"306","Bethioua"
"307","Bhir El Chergui"
"308","Bin El Ouiden"
"309","Bir Ben Laabed"
"310","Bir Bouhouche"
"311","Bir Chouhada"
"312","Bir Dheb"
"313","Bir-El-Arch"
"314","Bir-El-Ater"
"315","Bir El Djir"
"316","Bir El Hammam"
"317","Bir Foda"
"318","Bir Ghbalou"
"319","Bir Haddada"
"320","Birine"
"321","Bir Kasdali"
"322","Birkhadem"
"323","Bir Mokkadem"
"324","Bir Mourad Rais"
"325","Bir Ould Khelifa"
"326","Birtouta"
"327","Biskra"
"328","Bitam"
"329","Blida"
"330","Boghni"
"331","Bologhine Ibnou Ziri"
"332","Bordj Badji Mokhtar"
"333","Bordj Ben Azzouz"
"334","Bordj Bou Arreridj"
"335","Bordj Bounaama"
"336","Bordj El Bahri"
"337","Bordj El Emir Abdelkader"
"338","Bordj El Haouasse"
"339","Bordj El Kiffan"
"340","Bordj Emir Khaled"
"341","Bordj Ghdir"
"342","Bordj Menaiel"
"343","Bordj Okhriss"
"344","Bordj Omar Driss"
"345","Bordj Sebbat"
"346","Bordj Tahar"
"347","Bordj Zemoura"
"348","Bouaarfa"
"349","Bouaiche"
"350","Bouaichoune"
"351","Boualem"
"352","Bouandas"
"353","Bouati Mahmoud"
"354","Bou Caid"
"355","Bouchakroune"
"356","Bouchekouf"
"357","Boucherahil"
"358","Bouchetata"
"359","Bouda"
"360","Bouderbala"
"361","Boudjebaa El Bordj"
"362","Boudjellil"
"363","Boudjeriou Messaoud"
"364","Boudjima"
"365","Boudouaou"
"366","Boudouaou El Bahri"
"367","Boudria Beniyadjis"
"368","Boufarik"
"369","Boufatis"
"370","Bougaa"
"371","Bougara"
"372","Boughar"
"373","Boughezoul"
"374","Bougous"
"375","Bougtoub"
"376","Bouguerra"
"377","Bouguirat"
"378","Bou Hachana"
"379","Bouhadjar"
"380","Bou Hamdane"
"381","Bouhamza"
"382","Bouhanifia"
"383","Bou Haroun"
"384","Bouhatem"
"385","Bou Henni"
"386","Bouhlou"
"387","Bouhmama"
"388","Bouihi"
"389","Bouinan"
"390","Bouira"
"391","Bouira Lahdab"
"392","Bou Ismail"
"393","Boukadir"
"394","Boukais"
"395","Boukhadra"
"396","Boukhenifis"
"397","Boukhlifa"
"398","Boukram"
"399","Boulhaf Dyr"
"400","Boulhilat"
"401","Boumagueur"
"402","Boumahra Ahmed"
"403","Boumedfaa"
"404","Boumerdes"
"405","Boumia"
"406","Bounouh"
"407","Bounoura"
"408","Bourached"
"409","Bouraoui Belhadef"
"410","Bourkika"
"411","Bourouba"
"412","Bou Saada"
"413","Bousfer"
"414","Bouskene"
"415","Bousselam"
"416","Boussemghoun"
"417","Boussif Ouled Askeur"
"418","Boutaleb"
"419","Bouteldja"
"420","Bouti Sayeh"
"421","Boutlelis"
"422","Bouzareah"
"423","Bou Zedjar"
"424","Bouzeghaia"
"425","Bouzeguene"
"426","Bouzegza Keddara"
"427","Bouzina"
"428","Branis"
"429","Breira"
"430","Brezina"
"431","Brida"
"432","Casbah"
"433","Chaabet El Ham"
"434","Chabet El Ameur"
"435","Challalat El Adhaoura"
"436","Chahbounia"
"437","Chahna"
"438","Chaiba"
"439","Charef"
"440","Charouine"
"441","Chebaita Mokhtar"
"442","Chebli"
"443","Chechar"
"444","Chefia"
"445","Cheguig"
"446","Chehaima"
"447","Chekfa"
"448","Chelghoum Laid"
"449","Chelia"
"450","Chellal"
"451","Chellala"
"452","Chellata"
"453","Chemini"
"454","Chemora"
"455","Cheniguel"
"456","Chentouf"
"457","Cheraga"
"458","Cheraia"
"459","Cherchel"
"460","Chetaibi"
"461","Chetma"
"462","Chetouane"
"463","Chetouane Belaila"
"464","Chettia"
"465","Chiffa"
"466","Chigara"
"467","Chihani"
"468","Chir"
"469","Chlef"
"470","Chorfa"
"471","Chorfa"
"472","Chorfa"
"473","Chouaiba (Ouled Rahma)"
"474","Chrea"
"475","Chrea"
"476","Colla"
"477","Collo"
"478","Constantine"
"479","Corso"
"480","Dahmouni"
"481","Dahouara"
"482","Dahra"
"483","Damiat"
"484","Damous"
"485","Daoussen"
"486","Dar Ben Abdelah"
"487","Dar Chioukh"
"488","Dar El Beida"
"489","Darguina"
"490","Dar Yaghmouracene"
"491","Debdeb"
"492","Debila"
"493","Dechmia"
"494","Dehahna"
"495","Dehamcha"
"496","Deldoul"
"497","Deldoul"
"498","Dellys"
"499","Dely Ibrahim"
"500","Derradji Bousselah"
"501","Derrag"
"502","Deux Bassins"
"503","Dhaya"
"504","Dhayet Bendhahoua"
"505","Didouche Mourad"
"506","Dirrah"
"507","Djaafra"
"508","Djamaa"
"509","Djamora"
"510","Djanet"
"511","Djasr Kasentina"
"512","Djebabra"
"513","Djebahia"
"514","Djebala"
"515","Djebala El Khemissi"
"516","Djebel-Aissa Mimoun"
"517","Djebel Messaad"
"518","Djebilet Rosfa"
"519","Djelfa"
"520","Djelida"
"521","Djellal"
"522","Djemaa Beni Habibi"
"523","Djemaa Ouled Cheikh"
"524","Djemila"
"525","Djemila"
"526","Djendel"
"527","Djendel Saadi Mohamed"
"528","Djeniane Bourzeg"
"529","Djerma"
"530","Djezzar"
"531","Djidiouia"
"532","Djillali Ben Ammar"
"533","Djinet"
"534","Djouab"
"535","Douaouda"
"536","Douar El Ma"
"537","Douera"
"538","Douis"
"539","Doui Thabet"
"540","Draa-Ben-Khedda"
"541","Draa El Caid"
"542","Draa El Mizan"
"543","Draa-Kebila"
"544","Draa Smar"
"545","Draria"
"546","Drea"
"547","Drean"
"548","Echatt"
"549","El Abadia"
"550","El Ach"
"551","El Achir"
"552","El Achour"
"553","El Adjiba"
"554","El-Affroun"
"555","El Aioun"
"556","El Allia"
"557","El Amiria"
"558","El Amra"
"559","El Amria"
"560","El Ancer"
"561","El An�ar"
"562","El Anseur"
"563","El Aouana"
"564","El-Aouinnet"
"565","El Aricha"
"566","El Asnam"
"567","El Assafia"
"568","El Attaf"
"569","El Atteuf"
"570","Elayadi Barbes"
"571","El Bayadh"
"572","El Beidha"
"573","El Biar"
"574","El Biod"
"575","El Biodh Sidi Cheikh"
"576","El Bnoud"
"577","El Bordj"
"578","El Borma"
"579","El Bouni"
"580","El Braya"
"581","El Dhaala"
"582","El Djazia"
"583","El Eulma"
"584","El Eulma"
"585","El Fedjoudj"
"586","El Fedjouz Boughrara Saoudi"
"587","El Fehoul"
"588","El Feidh"
"589","El Flaye"
"590","El Gaada"
"591","El Ghedir"
"592","El Ghicha"
"593","El Ghomri"
"594","El Ghrous"
"595","El Gor"
"596","El Guedid"
"597","El Guelb El Kebir"
"598","El Guerrarra"
"599","El Guettana"
"600","El Guettar"
"601","El Hacaiba"
"602","El Hachem"
"603","El Hachimia"
"604","El Hadaiek"
"605","El Hadjab"
"606","El Hadjadj"
"607","El Hadjar"
"608","El Hadjira"
"609","El Hakimia"
"610","El Hamadia"
"611","El Hamdania"
"612","El Hamel"
"613","El Hamma"
"614","El Hammamet"
"615","El Haouaita"
"616","El Haouch"
"617","El Harmilia"
"618","El Harrach"
"619","El Harrouch"
"620","El Hassania"
"621","El Hassasna"
"622","El Hassi"
"623","El Hassi"
"624","El H'Madna"
"625","El Houamed"
"626","El-Houidjbet"
"627","El Idrissia"
"628","El Kaf Lakhdar"
"629","El Kala"
"630","El Karimia"
"631","El Kennar Nouchfi"
"632","El Kentara"
"633","El Kerma"
"634","El Keurt"
"635","El Khabouzia"
"636","El Kharrouba"
"637","El Kheither"
"638","El Khemis"
"639","El Kheng"
"640","El Khroub"
"641","El Kouif"
"642","El Kseur"
"643","El Madania"
"644","El Madher"
"645","El Magharia"
"646","El Mahmal"
"647","El Main"
"648","El Maine"
"649","El Malabiodh"
"650","El Malah"
"651","El Mamounia"
"652","El Marsa"
"653","El Marsa"
"654","El Matmar"
"655","El Matmor"
"656","El Mechira"
"657","El Mehara"
"658","El Menaouer"
"659","El Meniaa"
"660","El Meridj"
"661","El Messaid"
"662","El Mezeraa"
"663","El M'Ghair"
"664","El M'Hir"
"665","El Milia"
"666","El Mizaraa"
"667","El Mokrani (El Madjen)"
"668","El Mouradia"
"669","El Ogla"
"670","El Ogla"
"671","El Ouata"
"672","El Oued"
"673","El Oueldja"
"674","El Ouinet"
"675","El Ouitaya"
"676","El Ouldja"
"677","El-Ouldja"
"678","El Oumaria"
"679","El Ouricia"
"680","El Rahia"
"681","El Tarf"
"682","El Youssoufia"
"683","Emir Abdelkader"
"684","Emir Abdelkader"
"685","Emjez Edchich"
"686","Ensigha"
"687","Erg Ferradj"
"688","Erraguene"
"689","Es Sebt"
"690","Es Senia"
"691","Faidh El Botma"
"692","Faidja"
"693","Fellaoucene"
"694","Fenaia Maten"
"695","Fenoughil"
"696","Feraoun"
"697","Ferdjioua"
"698","Ferkane"
"699","Ferraguig"
"700","Fesdis"
"701","Filfila"
"702","Fkirina"
"703","Foggaret Azzouia"
"704","Fornaka"
"705","Foughala"
"706","Fouka"
"707","Foum Toub"
"708","Freha"
"709","Frenda"
"710","Frikat"
"711","Froha"
"712","Gdyel"
"713","Ghardaia"
"714","Gharrous"
"715","Ghassoul"
"716","Ghazaouet"
"717","Ghebala"
"718","Gherouaou"
"719","Ghessira"
"720","Ghilassa"
"721","Ghriss"
"722","Gosbat"
"723","Gouraya"
"724","Grarem Gouga"
"725","Guelal Boutaleb"
"726","Guelma"
"727","Gueltat Sidi Saad"
"728","Guelta Zerka"
"729","Guemar"
"730","Guenzet"
"731","Guerdjoum"
"732","Guernini"
"733","Guerrouma"
"734","Guertoufa"
"735","Guettara"
"736","Guidjel"
"737","Guiga"
"738","Guorriguer"
"739","Hacine"
"740","Haddada"
"741","Had Echkalla"
"742","Hadjadj"
"743","Hadjera Zerga"
"744","Hadj Mechri"
"745","Hadjout"
"746","Hadjret Ennous"
"747","Had Sahary"
"748","Haizer"
"749","Hamadia"
"750","Hamadi Krouma"
"751","Hamala"
"752","Hamma"
"753","Hamma Bouziane"
"754","Hammadi"
"755","Hammam Ben Salah"
"756","Hammam Boughrara"
"757","Hammam Bouhadjar"
"758","Hammam Dalaa"
"759","Hammam Debagh"
"760","Hammamet"
"761","Hammam Guergour"
"762","Hammam Melouane"
"763","Hammam N'Bail"
"764","Hammam Righa"
"765","Hammam Soukhna"
"766","Hamraia"
"767","Hamri"
"768","Hanchir Toumghani"
"769","Hanencha"
"770","Hannacha"
"771","Haraoua"
"772","Haraza"
"773","Harbil"
"774","Harchoune"
"775","Hasnaoua"
"776","Hassaine (Beni Yahi)"
"777","Hassani Abdelkrim"
"778","Hassasna"
"779","Hassi Bahbah"
"780","Hassi Ben Abdellah"
"781","Hassi Ben Okba"
"782","Hassi Bounif"
"783","Hassi Dahou"
"784","Hassi Delaa"
"785","Hassi El Euch"
"786","Hassi El Ghella"
"787","Hassi Fedoul"
"788","Hassi Fehal"
"789","Hassi Gara"
"790","Hassi Khalifa"
"791","Hassi Mameche"
"792","Hassi Mefsoukh"
"793","Hassi Messaoud"
"794","Hassi R'Mel"
"795","Hassi Zehana"
"796","Hattatba"
"797","Helliopolis"
"798","Hennaya"
"799","Herenfa"
"800","Hidoussa"
"801","Hoceinia"
"802","Honaine"
"803","Hounet"
"804","Hussein Dey"
"805","Hydra"
"806","Ibn Ziad"
"807","Iboudraren"
"808","Ichmoul"
"809","Idjeur"
"810","Idles"
"811","Iferhounene"
"812","Ifigha"
"813","Iflissen"
"814","Ighil-Ali"
"815","Ighrem"
"816","Igli"
"817","Illilten"
"818","Illizi"
"819","Illoula Oumalou"
"820","Imsouhal"
"821","In Amenas"
"822","In Ghar"
"823","In Guezzam"
"824","In M'Guel"
"825","Inoughissen"
"826","In Salah"
"827","In Zghmir"
"828","Irdjen"
"829","Isser"
"830","Jijel"
"831","Kadiria"
"832","Kais"
"833","Kalaa"
"834","Kalaat Bousbaa"
"835","Kanoua"
"836","Kasdir"
"837","Kef El Ahmar"
"838","Kenadsa"
"839","Kendira"
"840","Kerkera"
"841","Kerzaz"
"842","Khadra"
"843","Khalouia"
"844","Khams Djouamaa"
"845","Khatouti Sed Eldjir"
"846","Khedara"
"847","Kheiredine"
"848","Kheir Oued Adjoul"
"849","Khelil"
"850","Khemis El Khechna"
"851","Khemis Miliana"
"852","Khemissa"
"853","Khemisti"
"854","Khemisti"
"855","Khenchela"
"856","Kheng Maoun"
"857","Khenguet Sidi Nadji"
"858","Kherrata"
"859","Khezzara"
"860","Khirane"
"861","Khoubana"
"862","Khraicia"
"863","Kimmel"
"864","Kolea"
"865","Kouas"
"866","Kouba"
"867","Kouinine"
"868","Krakda"
"869","Ksabi"
"870","Ksar Bellezma"
"871","Ksar Chellala"
"872","Ksar El Abtal"
"873","Ksar El Boukhari"
"874","Ksar El Sbihi"
"875","Ksar Hirane"
"876","Ksar Kaddour"
"877","Ksour"
"878","Labiod Medjadja"
"879","Lac Des Oiseaux"
"880","Laghouat"
"881","Lahlef"
"882","Lahmar"
"883","Lakhdaria"
"884","Larbaa"
"885","Larbaa"
"886","Larbaa"
"887","Larbaa-Nath-Irathen"
"888","Larbatache"
"889","Lardjem"
"890","Larhat"
"891","Layoune"
"892","Lazharia"
"893","Lazrou"
"894","Leghata"
"895","Lemsane"
"896","Lemtar"
"897","Les Eucalyptus"
"898","Lichana"
"899","Lioua"
"900","Maacem"
"901","Maadid"
"902","Maafa"
"903","Maala"
"904","Maamora"
"905","Maamora"
"906","Maaouia"
"907","Maarif"
"908","Maatkas"
"909","Machroha"
"910","Madna"
"911","Maghnia"
"912","Magra"
"913","Magrane"
"914","Magtaa Douz"
"915","Mahdia"
"916","Mahelma"
"917","Makhda"
"918","Makman Ben Amer"
"919","Makouda"
"920","Mansoura"
"921","Mansoura"
"922","Mansourah"
"923","Mansourah"
"924","Maouaklane"
"925","Maoussa"
"926","Marsa"
"927","Marsa Ben M'Hidi"
"928","Marsat El Hadjadj"
"929","Mascara"
"930","Mazouna"
"931","M'Chedallah"
"932","M'Cid"
"933","M'Cif"
"934","M'Daourouche"
"935","M'Doukal"
"936","Mecheria"
"937","Mechouneche"
"938","Mechraa Houari Boumediene"
"939","Mechraa Safa"
"940","Mechtrass"
"941","Medea"
"942","Mediouna"
"943","Medjana"
"944","Medjaz Ammar"
"945","Medjaz Sfa"
"946","Medjebar"
"947","Medjedel"
"948","Medrissa"
"949","Medroussa"
"950","Meftah"
"951","Meftaha"
"952","Megarine"
"953","Megheraoua"
"954","Meghila"
"955","Mekhadma"
"956","Mekhatria"
"957","Mekkedra"
"958","Mekla"
"959","Melaab"
"960","Melbou"
"961","Mellakou"
"962","Menaa"
"963","Menaa (Ouled Atia)"
"964","Menaceur"
"965","Mendes"
"966","Merad"
"967","Merahna"
"968","Merdja Sidi Abed"
"969","Merhoum"
"970","Meridja"
